Epoch,Train Loss
1.0,0.04251611977815628
2.0,0.03767048195004463
3.0,0.039376478642225266
4.0,0.036945540457963943
5.0,0.03183239325881004
6.0,0.03296497464179993
7.0,0.032239265739917755
8.0,0.03169490396976471
9.0,0.02697150409221649
10.0,0.027521666139364243
11.0,0.029530048370361328
12.0,0.028493624180555344
13.0,0.0311397947371006
14.0,0.028858575969934464
15.0,0.021922897547483444
16.0,0.02952520176768303
17.0,0.0254658255726099
18.0,0.0246833898127079
19.0,0.02675548568367958
20.0,0.02423856407403946
21.0,0.0219217948615551
22.0,0.023565519601106644
23.0,0.021571379154920578
24.0,0.0229110736399889
25.0,0.022540360689163208
26.0,0.02404310181736946
27.0,0.021925289183855057
28.0,0.022669512778520584
29.0,0.022943321615457535
30.0,0.01989915408194065
31.0,0.020448211580514908
32.0,0.022535014897584915
33.0,0.022306831553578377
34.0,0.019349101930856705
35.0,0.021557968109846115
36.0,0.018570229411125183
37.0,0.01879194751381874
38.0,0.018916061148047447
39.0,0.01737222447991371
40.0,0.017554674297571182
41.0,0.01846419647336006
42.0,0.01812606118619442
43.0,0.016555815935134888
44.0,0.01578565686941147
45.0,0.017812127247452736
46.0,0.018132658675312996
47.0,0.017476990818977356
48.0,0.016933908686041832
49.0,0.017067665234208107
50.0,0.01794552430510521
51.0,0.015552530065178871
52.0,0.01649937406182289
53.0,0.01748158596456051
54.0,0.014785023406147957
55.0,0.016733651980757713
56.0,0.016167225316166878
57.0,0.017177609726786613
58.0,0.016707707196474075
59.0,0.016028914600610733
60.0,0.017095351591706276
61.0,0.014242267236113548
62.0,0.015186494216322899
63.0,0.016154685989022255
64.0,0.015918899327516556
65.0,0.015535171143710613
66.0,0.016086429357528687
67.0,0.015397168695926666
